[421990.681210] Syscall intercepted pid=7523
[421990.681505] Syscall: pid=7523
[421990.681627] 0x7ffff7792000
[421990.681629] 0x7fffffffd000
[421990.681630] 0x614000
[421990.681631] 0x7fffffffd000
[421990.681632] 0x614000
[421990.681633] 0x7ffff7dd3000
[421990.681635] 0x7fffffffd000
[421990.681636] 0x7ffff7dd6000
[421990.681637] 0x7fffffffd000
[421990.681638] 0x7ffff7dd6000
[421990.681639] 0x614000
[421990.681640] 0x7fffffffd000
[421990.681641] 0x614000
[421990.681642] 0x7ffff7fce000
[421990.681644] 0x7fffffffd000
[421990.681645] 0x616000
[421990.681646] 0x7fffffffd000
[421990.681647] 0x614000
[421990.681648] 0x7fffffffd000
[421990.681649] 0x614000
[421990.681650] 0x7ffff7f92000
[421990.681651] 0x7fffffffd000
[421990.681652] 0x7ffff7dd3000
[421990.681653] 0x7fffffffd000
[421990.681655] 0x710000
[421990.681656] 0x7fffffffd000
[421990.681657] 0x710000
[421990.681658] 0x7ffff7dd3000
[421990.681659] 0x7fffffffd000
[421990.681660] 0x7e2000
[421990.681661] 0x7fffffffd000
[421990.681662] 0x7e2000
[421990.681663] 0x614000
[421990.681664] 0x7fffffffd000
[421990.681665] 0x616000
[421990.681666] 0x7fffffffd000
[421990.681667] 0x7e2000
[421990.681669] 0x7fffffffd000
[421990.681670] 0x614000
[421990.681671] 0x7fffffffd000
[421990.681672] 0x616000
[421990.681673] 0x7fffffffd000
[421990.681674] 0x614000
[421990.681675] 0x7fffffffd000
[421990.681676] 0x616000
[421990.681677] 0x7fffffffd000
[421990.681678] 0x614000
[421990.681679] 0x7fffffffd000
[421990.681680] 0x616000
[421990.681681] 0x7fffffffd000
[421990.681682] 0x7e2000
[421990.681683] 0x7fffffffd000
[421990.681684] 0x614000
[421990.681685] 0x7fffffffd000
[421990.681687] 0x7ffff7fce000
[421990.681688] 0x7fffffffd000
[421990.681689] 0x614000
[421990.681690] 0x7fffffffd000
[421990.681691] 0x616000
[421990.681692] 0x7fffffffd000
[421990.681693] 0x7ffff7fce000
[421990.681694] 0x7fffffffd000
[421990.681695] 0x7ffff7fce000
[421990.681696] 0x601000
[421990.681697] 0x7fffffffd000
[421990.681699] Syscall intercepted pid=-1
[421990.681960] Syscall: pid=-1
